"id","domainname","notes","npi_count","is_athenahealth","is_multi_site","is_could_not_find_form","patient_record_request_form_url","is_plaintext_email_delivery_available","is_secure_email_non_Direct_delivery_available","is_fax_delivery_available","is_mail_delivery_available","is_Direct_delivery_available","is_portal_delivery_available","is_FHIR_url_delivery_available","is_non_FHIR_app_delivery_available","is_in_person_pickup_available","is_physical_disk_available","is_undefined_digital_delivery_available"
"101","mankato-clinic.com",,"139",NULL,"0","0","http://www.mankatoclinic.com/stuff/contentmgr/files/0/529f0736fca416f2f0e9051d095e461a/files/release_of_information_authorization_mc032.pdf","0","0","1","1","0","0","0","0","0","0","0"
"102","uhs-sa.com",,"139",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"103","SavaSC.com",,"138",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"104","healthpointchc.org",,"137",NULL,"0","0","https://www.healthpointchc.org/images/uploads/blocks/standard/ROI_-revised_dec_2020.pdf","1","0","1","1","0","0","0","0","0","1","0"
"105","swedish.org",,"136",NULL,"0","0","https://www.swedish.org/~/media/Files/Providence%20Swedish/PDFs/Patients%20Visitors/AuthDisclosure/english.pdf","1","0","1","1","0","1","0","0","0","1","0"
"106","uwhealth.org",,"136",NULL,"0","0","https://www.uwhealth.org/files/uwhealth/docs/medrecords/release_medical_information.pdf","0","0","1","1","0","0","0","0","0","0","0"
"107","mhc.net",,"134",NULL,"0","1","https://www.munsonhealthcare.org/media/file/MunsonHealthcare_info_authorization_release.pdf","0","1","1","1","0","0","0","0","1","1","0"
"108","lifecorehealthgroup.com",,"134",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"109","northside.com",,"133",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"110","hsccpa.com","not a provider","132",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"111","consulatehc.com",,"131",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"112","nephdocs.com",,"131",NULL,"0","1","https://www.nephdocs.com/wp-content/uploads/2014/02/NANI-Authorization-for-Release-of-PHI-5.1.19.pdf","0","0","1","1","0","1","0","0","1","1","0"
"113","swedishamerican.org",,"130",NULL,"0","0","https://www.swedishamerican.org/sites/default/files/2018-11/Authorization-for-Disclosure-of-Health-Information-%28SAH302401-DT%29.pdf","0","1","0","1","0","0","0","0","0","0","0"
"114","HRS.ORG",,"129",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"115","hss.edu",,"127",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"116","ascension.org",,"126","1","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"117","owensborohealth.org",,"126",NULL,"0","0","https://www.owensborohealth.org/app/files/public/b7dc5276-734f-4335-a8e8-64365da6fab6/health-disclosure-form.pdf","1","1","1","1","0","1","0","0","1","1","0"
"118","telecarecorp.com",,"124",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"119","rcbhsc.wvu.edu",,"122",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"120","trinity-health.org",,"121",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"121","uhsinc.com",,"121",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"122","goshenhealth.com",,"119",NULL,"0","0","https://goshenhealth.com/Goshenhealth.com/media/Document-Library/RELEASE-OF-INFORMATION.pdf","0","0","0","1","0","0","0","0","0","0","0"
"123","vmed.org",,"118",NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"124","INTERCOASTALMEDICAL.COM",,"116",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"125","medicmgmt.com","not a provider","115",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
